Date,moats,treatment,time,aTemperature,TempSensor,DOSensor,Dissolved Oxygen,period,salinity
9/23/19,M13,allchange,15:39,13.99,omegaL,PreSens,8.49,night,n/a
9/23/19,M12,current,16:00,12.14,omegaL,PreSens,8.25,night,n/a
9/23/19,M11,hightemperature,16:08,14.14,omegaL,PreSens,8.07,night,n/a
9/23/19,M10,current,16:56,12.03,omegaL,PreSens,8.79,night,n/a
9/23/19,M08,allchange,17:07,13.72,omegaL,PreSens,8.74,night,n/a
9/23/19,M07,current,17:11,12.08,omegaL,PreSens,8.94,night,n/a
9/23/19,M06,hightemperature,17:20,13.87,omegaL,PreSens,8.7,night,n/a
9/23/19,M05,ambient,17:37,13.34,omegaL,PreSens,8.76,night,n/a
9/23/19,M04,ambient,17:45,14.27,omegaL,PreSens,8.76,night,n/a
9/23/19,M03,current,17:54,11.87,omegaL,PreSens,9.03,night,n/a
9/23/19,M02,allchange,18:00,13.73,omegaL,PreSens,8.6,night,n/a
9/23/19,M01,hightemperature,18:05,13.76,omegaL,PreSens,8.92,night,n/a
9/23/19,M13,allchange,15:40,13.99,omegaL,SystemDOprobe,8.42,night,n/a
9/23/19,M12,current,16:01,12.14,omegaL,SystemDOprobe,8.468,night,n/a
9/23/19,M11,hightemperature,16:09,14.14,omegaL,SystemDOprobe,8.135,night,n/a
9/23/19,M10,current,17:05,12.03,omegaL,SystemDOprobe,9.01,night,n/a
9/23/19,M08,allchange,17:11,13.72,omegaL,SystemDOprobe,8.7,night,n/a
9/23/19,M07,current,17:20,12.08,omegaL,SystemDOprobe,8.946,night,n/a
9/23/19,M06,hightemperature,17:31,13.87,omegaL,SystemDOprobe,8.69,night,n/a
9/23/19,M05,ambient,17:41,13.34,omegaL,SystemDOprobe,8.707,night,n/a
9/23/19,M04,ambient,17:49,14.27,omegaL,SystemDOprobe,8.685,night,n/a
9/23/19,M03,current,17:57,11.87,omegaL,SystemDOprobe,9.133,night,n/a
9/23/19,M02,allchange,18:05,13.73,omegaL,SystemDOprobe,8.658,night,n/a
9/23/19,M01,hightemperature,18:11,13.76,omegaL,SystemDOprobe,8.792,night,n/a
9/30/19,M02,allchange,16:35,13.79,omegaL,SystemDOprobe,8.628,night,30.25
9/30/19,M08,allchange,16:02,13.86,omegaL,SystemDOprobe,8.447,night,30.32
9/30/19,M13,allchange,16:23,13.8,omegaL,SystemDOprobe,8.677,night,30.36
9/30/19,M02,allchange,16:47,14.2,fluke,PreSens,6.54,night,30.25
9/30/19,M08,allchange,16:02,14.1,fluke,PreSens,7.15,night,30.32
9/30/19,M13,allchange,16:23,14.4,fluke,PreSens,8.08,night,30.36
10/1/19,M07,current,18:18,12.02,omegaL,SystemDOprobe,9.032,night,30.56
10/1/19,M07,current,18:23,11,orionCOND,PreSens,7.3,night,30.56
10/1/19,M10,current,18:13,12.01,omegaL,SystemDOprobe,9.162,night,30.59
10/1/19,M10,current,18:38,12.1,orionCOND,PreSens,8.05,night,30.59
10/1/19,M12,current,18:13,12.6,orionCOND,SystemDOprobe,9.024,night,30.65
10/1/19,M12,current,18:42,12.1,omegaL,PreSens,8.42,night,30.65
10/1/19,M01,hightemperature,16:56,13.9,omegaL,SystemDOprobe,8.757,night,30.42
10/1/19,M01,hightemperature,17:13,14.02,fluke,PreSens,6.87,night,30.42
10/1/19,M03,current,17:01,11.84,omegaL,SystemDOprobe,8.877,night,30.3
10/1/19,M03,current,17:20,12.06,fluke,PreSens,8.41,night,30.3
10/1/19,M04,ambient,17:01,12.02,omegaL,SystemDOprobe,9.03,night,30.47
10/1/19,M04,ambient,17:40,9.29,fluke,PreSens,9.05,night,30.57
10/1/19,M05,ambient,17:07,12.02,omegaL,SystemDOprobe,8.56,night,30.49
10/1/19,M05,ambient,17:47,12.3,fluke,PreSens,7.84,night,30.49
10/1/19,M06,hightemperature,17:02,13.88,omegaL,SystemDOprobe,8.088,night,30.48
10/1/19,M06,hightemperature,17:57,11.13,fluke,PreSens,7.72,night,30.48
10/2/19,M02,allchange,17:20,13.96,omegaL,SystemDOprobe,8.614,night,30.53
10/2/19,M02,allchange,17:46,14.2,orionCOND,Presens,6.78,night,30.53
10/2/19,M08,allchange,18:05,13.56,omegaL,SystemDOprobe,8.464,night,30.53
10/2/19,M08,allchange,18:09,13.2,orionCOND,PreSens,7.24,night,30.53
10/2/19,M13,allchange,18:10,13.98,omegaL,SystemDOprobe,8.173,night,30.5
10/2/19,M13,allchange,18:12,14.4,orionCOND,PreSens,7.77,night,30.5
10/4/19,M01,hightemperature,12:38,15.85,omegaL,SystemDOprobe,8.496,night,30.14
10/4/19,M01,hightemperature,12:39,14.6,orionCOND,PreSens,7.14,night,30.14
10/4/19,M02,allchange,12:45,14.89,omegaL,SystemDOprobe,8.096,night,30.4
10/4/19,M02,allchange,12:46,13.9,orionCOND,PreSens,7.03,night,30.4
10/4/19,M03,current,12:55,11.77,omegaL,SystemDOprobe,8.989,night,30.32
10/4/19,M03,current,12:56,12.5,orionCOND,PreSens,7.72,night,30.32
10/4/19,M04,ambient,13:03,12.17,omegaL,SystemDOprobe,8.979,night,30.39
10/4/19,M04,ambient,13:04,12,orionCOND,PreSens,8.65,night,30.39
10/4/19,M05,ambient,13:07,14.16,omegaL,SystemDOprobe,8.151,night,30.48
10/4/19,M05,ambient,13:08,11.9,orionCOND,PreSens,8.82,night,30.48
10/4/19,M06,hightemperature,13:12,14.16,omegaL,SystemDOprobe,8.739,night,30.66
10/4/19,M06,hightemperature,13:13,13.7,orionCOND,PreSens,6.93,night,30.66
10/4/19,M07,current,13:21,12.08,omegaL,SystemDOprobe,8.892,night,30.35
10/4/19,M07,current,13:22,12.2,orionCOND,PreSens,7.35,night,30.35
10/4/19,M08,allchange,13:27,14.43,omegaL,SystemDOprobe,8.385,night,30.6
10/4/19,M08,allchange,13:28,13.8,orionCOND,PreSens,6.62,night,30.6
10/4/19,M10,current,13:36,12.06,omegaL,SystemDOprobe,9.072,night,30.37
10/4/19,M10,current,13:37,12.3,orionCOND,PreSens,7.64,night,30.37
10/4/19,M11,hightemperature,13:43,13.95,omegaL,SystemDOprobe,9.192,night,30.7
10/4/19,M11,hightemperature,13:44,13.6,orionCOND,PreSens,8.39,night,30.7
10/4/19,M12,current,13:47,12.1,omegaL,SystemDOprobe,9.116,night,30.37
10/4/19,M12,current,13:48,12.2,orionCOND,PreSens,8.03,night,30.37
10/4/19,M13,allchange,13:53,15.18,omegaL,SystemDOprobe,8.554,night,30.66
10/4/19,M13,allchange,13:54,13.5,orionCOND,PreSens,6.77,night,30.66
10/7/19,M01,hightemperature,15:35,13.82,omegaL,SystemDOprobe,8.888,night,30.39
10/7/19,M01,hightemperature,15:36,14.1,orionCOND,PreSens,8.48,night,30.39
10/7/19,M02,allchange,15:22,14.05,omegaL,SystemDOprobe,8.63,night,30.43
10/7/19,M02,allchange,15:23,14.2,orionCOND,PreSens,8.61,night,30.43
10/7/19,M03,current,15:13,11.91,omegaL,SystemDOprobe,8.989,night,30.3
10/7/19,M03,current,15:14,12.5,orionCOND,PreSens,8.28,night,30.3
10/7/19,M04,ambient,15:09,11.56,omegaL,SystemDOprobe,8.99,night,30.34
10/7/19,M04,ambient,15:08,12.2,orionCOND,PreSens,9.28,night,30.34
10/7/19,M05,ambient,14:57,11.95,omegaL,SystemDOprobe,8.08,night,30.27
10/7/19,M05,ambient,14:58,12.3,orionCOND,PreSens,9.11,night,30.27
10/7/19,M06,hightemperature,14:47,13.89,omegaL,SystemDOprobe,8.783,night,30.47
10/7/19,M06,hightemperature,14:48,13.8,orionCOND,PreSens,7.87,night,30.47
10/7/19,M07,current,14:42,12.01,omegaL,SystemDOprobe,9.008,night,30.24
10/7/19,M07,current,14:43,12.8,orionCOND,PreSens,8.37,night,30.24
10/7/19,M08,allchange,14:33,14.01,omegaL,SystemDOprobe,8.513,night,30.42
10/7/19,M08,allchange,14:34,14,orionCOND,PreSens,7.88,night,30.42
10/7/19,M10,current,14:26,12.09,omegaL,SystemDOprobe,8.821,night,30.25
10/7/19,M10,current,14:27,12.7,orionCOND,PreSens,8.59,night,30.25
10/7/19,M11,hightemperature,14:17,14.05,omegaL,SystemDOprobe,9.147,night,30.57
10/7/19,M11,hightemperature,14:18,13.8,orionCOND,PreSens,8.65,night,30.57
10/7/19,M12,current,14:11,11.63,omegaL,SystemDOprobe,9.092,night,30.11
10/7/19,M12,current,14:12,12.6,orionCOND,PreSens,9.05,night,30.11
10/7/19,M13,allchange,14:04,13.98,omegaL,SystemDOprobe,8.567,night,30.22
10/7/19,M13,allchange,14:05,14.7,orionCOND,PreSens,7.78,night,30.22
10/10/19,M01,hightemperature,15:44,14.16,omegaL,SystemDOprobe,8.885,night,30.05
10/10/19,M01,hightemperature,15:45,14.3,orionCOND,PreSens,8.11,night,30.05
10/10/19,M06,hightemperature,15:46,14.51,omegaL,SystemDOprobe,8.803,night,30.44
10/10/19,M06,hightemperature,15:47,13.7,orionCOND,PreSens,7.97,night,30.44
10/17/19,M03,current,15:10,11.82,omegaL,SystemDOprobe,8.873,night,30.07
10/17/19,M03,current,15:11,12.8,orionCOND,PreSens,8.54,night,30.07
10/17/19,M04,ambient,15:12,11.7,omegaL,SystemDOprobe,8.447,night,30.39
10/17/19,M04,ambient,15:13,12.9,orionCOND,PreSens,9.66,night,30.39
10/17/19,M05,ambient,15:12,11.7,omegaL,SystemDOprobe,8.63,night,30.33
10/17/19,M05,ambient,15:12,12.9,orionCOND,PreSens,9.22,night,30.33
10/17/19,M07,current,15:13,11.98,omegaL,SystemDOprobe,8.799,night,30.32
10/17/19,M07,current,15:13,12.2,orionCOND,PreSens,8.39,night,30.32
10/17/19,M10,current,15:13,12.05,omegaL,SystemDOprobe,9.079,night,30.35
10/17/19,M10,current,15:13,12.2,orionCOND,PreSens,8.69,night,30.35
10/17/19,M12,current,15:14,11.76,omegaL,SystemDOprobe,8.885,night,30.59
10/17/19,M12,current,15:14,13.9,orionCOND,PreSens,8.18,night,30.59
10/18/19,M01,hightemperature,13:42,13.67,omegaL,SystemDOprobe,8.558,night,30.02
10/18/19,M01,hightemperature,13:42,13.2,orionCOND,PreSens,6.61,night,30.02
10/18/19,M02,allchange,13:43,13.67,omegaL,SystemDOprobe,7.142,night,30.48
10/18/19,M02,allchange,13:43,13.67,omegaL,PreSens,7.45,night,30.48
10/18/19,M03,current,13:42,12.01,omegaL,SystemDOprobe,8.768,night,30.48
10/18/19,M03,current,13:42,12.01,omegaL,PreSens,8.19,night,30.48
10/18/19,M04,ambient,13:43,12.01,omegaL,SystemDOprobe,8.768,night,30.48
10/18/19,M04,ambient,13:43,12.01,omegaL,PreSens,8.47,night,30.48
10/18/19,M05,ambient,13:43,12.01,omegaL,SystemDOprobe,8.136,night,30.48
10/18/19,M05,ambient,13:43,12.01,omegaL,PreSens,8.5,night,30.48
10/18/19,M06,hightemperature,13:45,13.02,omegaL,SystemDOprobe,8.521,night,30.48
10/18/19,M06,hightemperature,13:45,13.02,omegaL,PreSens,7.42,night,30.48
10/18/19,M07,current,13:45,10.84,omegaL,SystemDOprobe,4.757,night,30.48
10/18/19,M07,current,13:45,10.84,omegaL,PreSens,8.04,night,30.48
10/18/19,M08,allchange,13:47,13.95,omegaL,SystemDOprobe,8.19,night,30.48
10/18/19,M08,allchange,13:47,13.95,omegaL,PreSens,7.14,night,30.48
10/18/19,M10,current,13:48,11.42,omegaL,SystemDOprobe,7.781,night,30.48
10/18/19,M10,current,13:48,11.42,omegaL,PreSens,8.47,night,30.48
10/18/19,M12,current,13:49,11.02,omegaL,SystemDOprobe,9.121,night,30.48
10/18/19,M12,current,13:49,11.02,omegaL,PreSens,8.66,night,30.48
10/18/19,M13,allchange,13:49,12.93,omegaL,SystemDOprobe,8.027,night,30.48
10/18/19,M13,allchange,13:49,12.93,omegaL,PreSens,7.38,night,30.48